Rank,Metals Industry,Number Of Employees,"Change In 
 Rank",Industry,Company Description,"Revenues
 ($millions)","Revenue 
 Change","Profits
 ($millions)","Profit 
 Change","Assets
 ($millions)","Market Value 
 As of 3/31/20 ($m)"
1.0,Walmart,2200000.0,-,Retail Company,"Walmart Inc. Is An American Multinational Retail Corporation That Operates A Chain Of Hypermarkets, Discount Department Stores, And Grocery Stores, Headquartered In Bentonville, Arkansas.",523964.0,0.019,14881.0,1.231,236495.0,321803.0
2.0,Amazon.com,798000.0,3.0,E-commerce Company,"Amazon.com, Inc. Is An American Multinational Technology Company Based In Seattle, Washington, Which Focuses On E-commerce, Cloud Computing, Digital Streaming, And Artificial Intelligence. ",280522.0,0.205,11588.0,0.15,225248.0,970680.0
3.0,Exxon Mobil,74900.0,-1.0,Corporation,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products.",264938.0,-0.087,14340.0,-0.312,362597.0,160696.0
4.0,Apple,137000.0,-1.0,Technology Company,"Apple Inc. Is An American Multinational Technology Company Headquartered In Cupertino, California, That Designs, Develops And Sells Consumer Electronics, Computer Software, And Online Services.",260174.0,-0.02,55256.0,-0.072,338516.0,1112641.0
5.0,Cvs Health,290000.0,3.0,Healthcare Company,"Cvs Health Is An American Healthcare Company That Owns Cvs Pharmacy, A Retail Pharmacy Chain; Cvs Caremark, A Pharmacy Benefits Manager; Aetna, A Health Insurance Provider, Among Many Other Brands. The Company's Headquarter Is In Woonsocket, Rhode Island.",256776.0,0.32,6634.0,-,222449.0,77376.0
6.0,Berkshire Hathaway,391500.0,-2.0,Multinational Conglomerate Company,"Berkshire Hathaway Is An American Multinational Conglomerate Holding Company Headquartered In Omaha, Nebraska, United States.",254616.0,0.027,81417.0,19.248,817729.0,442897.0
7.0,Unitedhealth Group,325000.0,-1.0,Managed Care Company,"Unitedhealth Group Incorporated Is An American For-profit Managed Health Care Company Based In Minnetonka, Minnesota. It Offers Health Care Products And Insurance Services. In 2019, It Was The Second-largest Healthcare Company By Revenue With $242.2 Billion, And The Largest Insurance Company By Net Premiums.",242155.0,0.07,13839.0,0.155,173889.0,236555.0
8.0,Mckesson,70000.0,-1.0,Health Care Company,"Mckesson Corporation Is An American Company Distributing Pharmaceuticals And Providing Health Information Technology, Medical Supplies, And Care Management Tools. The Company Had Revenues Of $231.1 Billion In 2020. ",214319.0,0.029,34.0,-0.493,59672.0,21845.0
9.0,At&t,247800.0,-,Telecommunications Company,"At&t Inc. Is An American Multinational Conglomerate Holding Company, Delaware-registered But Headquartered At Whitacre Tower In Downtown Dallas, Texas. ",181193.0,0.061,13903.0,-0.282,551669.0,209388.0
10.0,Amerisourcebergen,21500.0,-,Wholesale Company,Amerisourcebergen Corporation Is An American Drug Wholesale Company That Was Formed By The Merger Of Bergen Brunswig And Amerisource In 2001. They Provide Drug Distribution And Related Services Designed To Reduce Costs And Improve Patient Outcomes.,179589.0,0.069,855.4,-0.484,39172.0,18221.0
11.0,Alphabet,118899.0,4.0,Information Technology And Services,"Alphabet Inc. Is An American Multinational Conglomerate Headquartered In Mountain View, California. It Was Created Through A Restructuring Of Google On October 2, 2015,[2] And Became The Parent Company Of Google And Several Former Google Subsidiaries.the Two Co-founders Of Google Remained As Controlling Shareholders, Board Members, And Employees At Alphabet. Alphabet Is The World's Fourth-largest Technology Company By Revenue And One Of The World's Most Valuable Companies.",161857.0,0.183,34343.0,0.117,275909.0,798905.0
12.0,Ford Motor,190000.0,-,Automaker Company,"Ford Motor Company, Commonly Known As Ford, Is An American Multinational Automaker That Has Its Main Headquarters In Dearborn, Michigan, A Suburb Of Detroit. It Was Founded By Henry Ford And Incorporated On June 16, 1903.",155900.0,-0.028,47.0,-0.987,258537.0,19151.0
13.0,Cigna,73700.0,52.0,Insurance Company,"Cigna Is An American Worldwide Health Services Organization Based In Bloomfield, Connecticut. Its Insurance Subsidiaries Are Major Providers Of Medical, Dental, Disability, Life And Accident Insurance And Related Products And Services, The Majority Of Which Are Offered Through Employers And Other Groups.",153566.0,2.157,5104.0,0.936,155774.0,65897.0
14.0,Costco Wholesale,201500.0,-,Retail Company,Costco Wholesale Corporation Is An American Multinational Corporation Which Operates A Chain Of Membership-only Warehouse Clubs.,152703.0,0.079,3659.0,0.168,45400.0,125908.0
